#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
portion n. 	 gamma i; goomolee ni; moggaa ni     
possess v. 	 horra horta; qaba qabda      
possessions n. 	 sabba i       
possible, be v. 	 dandaha deeta       
possibly (adv.) 	 gaafiini        
post office n.	 postaa ni (Ital.)       
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
postpone v. 	 tindhisa dhifta; tura turta      
	       
pot n. (clay) 	 okotee ni; (cooking)   eelee ni; diftii ni; disti ni   
	       
potato n. 	 dinichaa ni       
	       
pot	bellied child n.   ruurii ni      
	       
potsherd n. 	 banisoo ni       
	       
pound v. 	 tuma tumta       
	       
pour v. 	 buusa buufta; (a little) v.  qica qicca; lollaha laata; naqa naxxa   
	       
poured out v. 	 dhangalaha laata;   harcaha caata     
	       
poverty n. 	 beela ti; qullaa ni      
	       
powder v. 	 fiitaha toofta       
	       
powdery, be v. 	 buka'a koofta       
	       
powdery, become v. 	 burquqa quxxa       
	       
power n. 	 forsaa ni (Ital.); guddina i; irree ni; maftii ni (Amh.)    
	       
practice v. 	 barradha ratta       
	       
praise oneself v. 	 faarfadha fatta       
	       
praise v. 	 dhaada dhaadda; faarsa sita; n. faaruu ni; saada saadda;    
	       
pray v. 	 kadhaa  katta; kadhadha kadhatta; sagada gadda (Amh.)     
	       
prayer n. 	 kadhaa  ni; eebba eebbiti; sagadaa ni     
	       
praying mantis n. 	 ekeraa galaa; qaanjibuu harree        
	       
precede v. 	 (in rank) caala lta       
	       
preceding (prep.) 	 dura        
	       
predict v. 	 faga fadda; mora morta; raaga raadda     
	       
prediction n. 	 mora i       
	       
prefer v. 	 foo'a ta       
	       
preferable (adj.)	 wayya        
	       
pregnancy n. 	 rimaha i; rimaya i      
	       
pregnant (adj.) 	 ulfa, ulfo, ulfo        
	       
pregnant animal n. 	 rimeesa i       
	       
pregnant, be v	 rima rimta (of animals and humans); garaachaha coofta      
	       
pregnant, make v. 	 dalca cita; (for unmarried girl) caphana nta      
	       
preoccupied, be v. 	 yaala lta       
	       
prepare 	 v. tolcha chita; dhaaba dhaabda; qopheessa sita; kurfeessa sita;    
	       
taaba	taabda        
prepared (adv.) 	 kurfo        
present n. 	 gumaata i; v. kenna kennita      
presently (adv.) 	 amma        
preserve v. 	 dandama mta       
press down v. 	 humna nita       
press together v. 	 dhandooma mta       
press v. 	 cumfa fita; mudda muddita      
prestigious, be v. 	 macha'a choofta       
presume v. 	 se'a seeta       
	       
pretend v. 	 buxuula lta; cocana nta; dhokadha katta; soba bda sosoba bda  
prevail v. 	 danqa qita       
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
p 	       
	       
	       
	       
prevent v. 	 dallamsa sita; dhowwa dhowwita;      
	       
dhowwarta	dhorta; ittisa ittifta; kuta kutta; rara rarta;     
	       
sima	simta; simana nta       
prevent from falling v. 	 qoba qobda       
prevention n. 	 dallamsaa i       
price n. 	 gatii ni       
	       
prick v. 	 qilxipha xiphta; waraana nta      
prickles n. 	 biilaa ni       
prickling (feeling) v. 	 qarqarsa'a soofta       
prickly	pear n.   gambooraa ni      
pride n. 	 uflaala ni ; koora i      
priority n. 	 matooma i       
	       
prison n. 	 jeelaa (Eng.); mana hidhaa/ hindaansaa; wnakii ni (Amh.)       
privacy n. 	 qoomnii ni; qoomi ni      
prize n. 	 shelemaatii ni (Amh.); galata       
problem n. 	 adaaba i; sarrii ni; sharrii ni; dhiba; rakkoo; nartii ni (Amh.);    
	       
haafaa	ni (Swa.); hooloo ni; qataaraa ni; xaaxaa ni; raraha i; sababba i   
proclaim v. 	 lalabba bda       
procure v. 	 bita bitta       
produce v. 	 dhala lta; firawa firofta      
profit n. 	 bu'a; tirfii ni (Amh.); faidaa ni (Swa.)      
profound (adj.)	 dheera        
prohibit v. 	 seera rta       
	       
promise v. 	 qodha qota; dhabadha batta; n.   dhangaa ni; kakuu  ni; dhabuu ni;  
prompt, be v. 	 aariifadha fatta       
promptly (adv.) 	 burunto (Ital.); hure        
pronounce v. 	 jedha jetta       
proof n. 	 hubachaa ni       
prop n. kiboo	ni; kaala  ni       
prop up v. 	 kiba kibda; utuba utubda      
property n. 	 halaala i; horii ni      
	       
prophecy n. 	 mora i; himanna i; himansa i; raaguma ti    
prophesy v. 	 raaga raadda       
prophet n. 	 raaga i; yuuba i      
prosper v. 	 fira firta; horra horta      
prosperity n. 	 badhaadha ni; bultuma i      
prostitute n. 	 sharmuxa i (p.) sharmuxolee ni      
protect v. 	 cibra rita       
	       
protection n. 	 simaa ni; simana i; dhibayyuu ni     
	       
protrude v. 	 gooraha rata; quuqa quuxxa; quuqawa qoofta; ulufa'a foofta    
protrusion n. 	 quuqaa ni; ulufa i      
protuberance n. 	 kolkolee ni; konoona i; funaani      
proud, be v. 	 balda dita; koora rta      
proverb n. 	 mamaassa i       
	       
	       
	       
	       
	       
provocation n. 	 aggachaa i       
	       
provoke v. 	 aggadha gatta; bittisa tifta; gaalla lta     
	       
pubescent, be v. 	 bumbunsa sita (said only of boys)       
	       
pubic hair n. 	 saphii ni       
	       
publish v. 	 lalabba bda       
	       
puckered, become v. 	 burdawa doofta       
	       
puddle n. 	 caancoo ni; diriba i; kolbaa ni; naanaha i    
	       
puff adder n. 	 buutii ni       
	       
puff up v. 	 xillibba'a boofta; buufa fta; buufa fta; bakisa kifta    
	       
pull in (the stomach) v. 	 qoloonfadha fatta       
	       
pull v. 	 tirsa sita       
	       
pulse v. 	 dhudhukadha katta; n. dhudhukachaa ni; dhikee ni; idhata i    
	       
pulverize v. 	 hurrawa roofta; urba urbita      
	       
pulverized thing n. 	 bulaa ni       
	       
pumpkin n. 	 bododda i       
	       
punch v. 	 tantooma mta       
	       
puncture n. 	 iddanaa ni       
	       
punctured v. 	 busuqa suxxa       
	       
punish v. 	 itti mura rta       
	       
punishment n. 	 adaaba I; gatii ni; qitaatii ni (Amh.)     
	       
pupil (of the eye) n. 	 agartaa ni;       
	       
pupil (student) n. 	 barata  ni       
	       
puppy n 	 cuquu ni       
	       
purchase n. 	 bitaachaa ni; bita bitta      
	       
pure (person) n. 	 balchaa ni       
	       
pure, be v. 	 qullawa loofta; adj. qulqulloo       
	       
purge v. 	 fala falta       
	       
purging n. 	 fala i; falachaa ni      
	       
purification n. 	 qulqullooma i; qulqulloomaa ni      
	       
purify v. 	 qulleessa sita; qulqulleessa sita      
	       
purity n. 	 balchaa; xintii ni (Amh.); qulqulluma mti      
	       
purpose n. 	 didhaa ni       
	       
purr v. 	 korisa rifta       
	       
purse n. 	 borsaa ni (Ital.); iftee ni (made from sisal thread)      
	       
pursue v. 	 reeba bda       
	       
pursuit n. 	 bu'aa ni; reebuu ni      
	       
pus n. 	 malaa ni       
	       
push v. 	 darba bita; dhiiba bda; mida midda; gussa gussita; hulfa fita;   
	       
sulcha	chita; ukhukuba bda; wirsa sita      
push down v. 	 humna nita       
pushing n. 	 dhiibansa i       
put v. 	 teessisa sifta       
put aside v. 	 hambisa bifta; ka'a  keeta      
put away v. 	 massa sita; suuqa suuxxa      
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
put down v. 	 buufadha fatta       
	       
put in a good place v. 	 massa sita       
	       
put in order v. 	 sokoladha latta       
	       
put on v. 	 keeyyadha yatta       
	       
put out v. 	 afa afta       
	       
put together v. 	 coonca cita (usually + walti); faafa fta      
	       
putrefy v. 	 tortora rta       
	       
python n. 	 jawwee ni       
	       
	       
	       
quail n. 	 cuuquruu ni; n.   gororii ni; caaqarrii ni; qirqicii ni;   
qoocoo	ni (Amh.)        
	       
quandry n. 	 wajaga i; be in a v. wajaga jadda;      
	       
quantity n. 	 haga i; raphtaa ni      
	       
quarrel n. 	 waraana i; weeraa ni (Amh.); falamaa ni; lolla lolta; lolla i;   
	       
v. 	 dida didda; falama mta; falma mita     
quarrelsome n. 	 araadda i       
quarrelsome person n. 	 makharticha i; lollee ni      
quartet n. 	 abraanuu        
quaver (in speech) v. 	 loqoda qodda       
question v. 	 morma mita; n.   dubbii ni     
queue up v. 	 coroora rta; n.  oroofaa ni     
quick (adv.) 	 burunto (Ital.); dafi (Amh.); hurrisi; hure        
quiet! 	 mureefadhaa!        
quiet, be v. 	 waada waadda       
quiet, remain v. 	 callisa lifta       
quintal n. 	 kintaala i       
quintet n. 	 shananu        
quit v. 	 lakkisa kifta       
quite (adv.) 	   uma (suffix)       
	       
	       
	       
rabbit n. 	 hileensa i       
	       
rabies n. 	 nyanyee ni       
	       
rag n. 	 bututuu ni       
	       
rage v. 	 romma ita; wacifa cifta      
	       
rain v. 	 bokaya i; boka'a bokeeni; (heavy)   tamna i; n.   hareesa i:  
	       
n. 	 rooba i; n.  sa'eesa; light   ebeelee ni    
	       
rain (heavily) v. 	 lollaha laata; v. rooba bda; sora rta     
	       
rainbird n. 	 bararatoo ni       
	       
rainy, be v. 	 ganna gannita       
	       
raising n. 	 ka'iisa        
	       
ramrod n. 	 sangii ni (Amh.)       
	       
rancid, become v. 	 bulungawa goofta       
	       
	       
	       
	       
	       
	       
	       
P 	       
	       
	       
	       
Q 	       
	       
	       
	       
R 	       
	       
	       
	       
rank n. 	 shuuma i       
	       
rash n. 	 suukii ni       
	       
rat n. 	 hantuuta i; kolissa i      
	       
rat's nest n. 	 huuroo ni       
	       
rattle n. 	 reeqisaa ni       
	       
rattle on v. 	 hofomfoladha latta       
	       
raven n. 	 haranqeessa i       
	       
ravine n. 	 bohaa ni; balee ni; bowwaa ni; horraa ni    
	       
raw (adj.) dheedhi 	       
	       
razorblade n. 	 shigiree ni (Amh.)       
	       
reach v. 	 dhaqaba bda; dhufa dhufta; gaha geeta; ta'a taata    
	       
react v. 	 boona boonta       
	       
read v. 	 sooma ta (Swa.); dubbisa bifta      
	       
ready (adv.) 	 kurfo        
	       
ready, be v. 	 qopha'a phoofta; make qopheessa sita; kurfeessaa      
	       
ready? 	  fi (suffix)       
	       
reality n. 	 dhugaa ni       
	       
realize v. 	 hubadha batta; ilaala lta      
	       
rear end n. 	 eegee ni       
	       
rear n. 	 dinqa i (private part of Borana house.)       
	       
reason n. 	 qalbii ni       
	       
receipt n. 	 darasanyii ni (Amh.)       
	       
receive v. 	 qaba qabda; with gratitude v.   sifeefadha fatta     
	       
recently (adv.) 	 dhi'o; onaana        
	       
recognize v. 	 beeka beeta       
	       
recoil v. 	 kontorfadha fatta       
	       
reconcile v. 	 taasisa sifta (cf. ta'a)       
	       
reconciliation n. 	 qoraa i; qorsumaa ni      
	       
recover v. 	 bayanadha natta; filma mita      
	       
recovery n. 	 lilanawaa ni       
	       
rectum n. 	 bondee ni; uduu ni; munnee ni; xeerii ni    
	       
recuperation n. 	 lilanawaa ni       
	       
red (adj.) 	 ( for horses and mules) daama        
	       
red (adj.) 	 diima; diimtu; diimo; arraha i; (very red) dhille       
	       
redeem v. 	 fura furta       
	       
redness n. 	 diimeena i       
	       
reedbuck n. 	 borofaa ni       
	       
reek v. 	 xira'a roofta; ajaha       
	       
refer to v. 	 akeeka , akeetta       
	       
refine v. 	 qunquma mta       
	       
refusal n. 	 siriima i       
	       
refuse (adv.) 	 barkati + jedha; barsiima + dha'a        
	       
refuse to respond v. 	 rincica cicca       
	       
	       
	       
R 	       
	       
	       
	       
refuse v. 	 dida, didda; (refuse absolutely) barkati (adv.);        
	       
barsiima (adv.); guula	lta; qiriba bda; waakadha katta      
regain strength v. 	 lilanaha noofta       
registration n.	 masagaba i (Amh.)       
regret v. 	 gaabba bita; ufi gaabba bita; ooda oodda; oodaha doofta    
reinforce v. 	 gonoofa fta       
	       
reject v. 	 dida didda; finqila lta; qiriba bda; tuffadha fatta    
rejoice v. 	 gammada madda; qilixama mta; gammada dda     
rejoin ( a bone) v. 	 tabba bita       
	       
relationship n. 	 sumsuma i; (family)   fiixooma i; (joking) n.   qoosaa ni   
relative n. 	 fiixaa ni; kin   aanaa; (on mother's side) eesuma i     
relax v. 	 fura furta; kufa kufta      
release v. 	 baqa, baxxa; fura furta; gadhiisa dhiifta;      
	       
n. 	 dhiifama i; dhiisama i      
released v. 	 baqa baxxa; dhiifama mta      
reliance n. 	 hirkachaa ni       
religious leader n. 	 qaalluu ni       
relish v. 	 dhandhama mta       
rely on v. abda, abdita; hirkadha	katta        
remain v. 	 haffa hafta; ola olta; taa'a teetta; tura turta    
remainder n. 	 gaggaa ni       
remains n. 	 bu'aa ni; daadaa ni      
remember v. 	 qaabadha batta; faaqa faaxxa      
remove v. 	 futa futta ; salqa qita      
rent n. 	 kiraa ni; v. kireefadha fatta      
repair v. 	 erba erbita; maxansiisa sifta; midhaassa sita; qaba qabda;    
	       
tolcha	chita; erba erbita       
repaired, be v. 	 midhaaga dhaadda       
repairing n. 	 maxansaa ni       
repeat v. 	 jalaa qaba qabda; lammeessa sita      
repeat v. 	 unta untita       
repetition n. 	 hogaa ni       
replacement n. 	 fulkaaya i; fulka'a i      
reply n. 	 hogaa ni       
report n. 	 himachaa ni; himachuu ni      
representation n. 	 shuumanoota i       
repugnance n. 	 lolochiaa ni       
reputation n. 	 gurra i       
request v. 	 kadhaa  katta       
rescue v. 	 baasa baafta; qusa qucca; qusadha satta     
resemble 	 akeeka, akeetta, wol fakkaata; fakkaadha kaatta       
reserve v. 	 dandama mta; kaladha  latta; kuusa kuucha; hambisa bifta;    
	       
n. 	 qusachaa ni; qusee ni      
reservoir n. 	 facana ti       
	       
	       
	       
	       
	       
	       
	       
R 	       
	       
	       
	       
reside v. 	 ola olta       
	       
residence n. 	 mana i       
	       
resign v. 	 lakkisa kifta       
	       
resignation n. 	 obsa  i; obsaa ni      
	       
resin n. 	 hamphee ni; haanchaa ni      
	       
resist v. 	 morma mita       
	       
resistance n. 	 morka i; morkachaa ni; mormaa ni; morooma ni    
	       
respect n. 	 fokoo ni; ceera i; saala i ; sadeeta ti    
	       
respect v. 	 daada daadda; dhedha dheta; sarma mita; v. saalfadha fatta;    
	       
respected (adj.) 	 ulfa, ulfo, ulfo        
	       
respectful speech n. 	 seeda i       
	       
respectful, be v. 	 ceera rta; fokifadha fatta      
	       
respond v. 	 owaadha owaatta       
	       
responsibility n. 	 baallii ni       
	       
rest v. 	 boqodha qotta; ciisa ciifta; forfadha fatta (Amh.);     
	       
hafura baafadha	atta (Orom.); rafa rafta       
restaurant n. 	 mana nyaata; hotelii ni (Swa.);       
	       
albergoo	ni, mana nyaata, mana sagale        
resting place n. 	 cicciisa i       
restless, be 	 aara rta; qaanjiba'a boofta.      
restrain v. 	 tindhisa dhifta       
restrict v. 	 dhoora rta       
restricted n. 	 dhooroo ni       
resurrection n. 	 ka'iisa        
retarded, be v. 	 mujuja mujujja       
retch v. 	 qooqifadha fatta       
retire v. 	 yuuba bda       
retreat v. 	 kontorfadha fatta; dhedha dheta      
	       
return v. 	 dachaha chaata; gargala ta; home v.   gala galta    
	       
return, make v. 	 rara rarta       
	       
returning home n. 	 galchuma i       
	       
revelation n. 	 mullachaa ni       
	       
revenge n. 	 kootoo ni; haaloo; haaloo ni; tiiqii ni (Amh.)     
	       
revered (person or thing) n. 	 wayyaa ni;       
	       
(person) n. 	 qaallicha i; qallitti ni      
revolt v. 	 ka'a  kaata       
revolve v.	 gargala ta       
rhinoceros n. 	 warseesa i       
rib n. 	 cinaacha i       
rice n. 	 ruuzii ni (Amh.)       
rich (adj.) 	 dunfura rta       
rich, become v. 	 durooma mta       
riddle n. 	 hiiboyaa ni; (answer) hibriqqa       
ridge n. 	 goobsoo ni; gooroo ni; kukuba ; luufa ti     
	       
	       
	       
	       
	       
R 	       
	       
	       
	       
ridicule v. 	 caacursa sita; goyyeessa sita; kobla koblita;     
	       
kofalta; seessa	sita; seessefadha fatta; n. seessa i      
rifle n. 	 boosa (Amh.); qawwee ni       
right (adv.) 	 qubo; dhugaa; (side) n.   mirga i      
right now (adv. ) 	 ammumma        
rightly (adv.) 	 sirri; dhugaa        
rigid, be v. 	 sibra brita       
rim n. 	 fitee ni; qarree ni; ginrangia i     
rinderpest n. 	 daadhii ni       
	       
ring (clothes) v. 	 borcha chita; qilisa lifta; qileesa i     
ring (for) finger n. 	 qubee ni       
ringworm n. 	 robbii ni       
rinse (the mouth) v. 	 lulluqahda qatta       
rinse v. 	 lolaha laata       
rinsing n. 	 lulluqoo ni       
rip v. 	 buta butta       
ripe n. 	 buleessa i       
ripe, be v. 	 bilchaadha chaata       
ritual manners n. 	 addaba; jila ti       
rival n. 	 orma i       
rival v. 	 morka kita       
rivalry n. 	 morka i; morkachaa ni      
river n. 	 galaana i       
riverbed n. 	 (seasonal) laga i       
road n. 	 kara  ni       
	       
roar v. 	 barooda rootta; n. barooduu ni; gooha goota; itana nta    
roast 	 v. akaawwa  akoofta or akaha akoofta; guba gubda; koosa sita;    
	       
ruruuqa	xxa; wadda        
rob v. 	 hata hatta       
robber n. 	 hattuu ni; sargoo ni      
robbery n. 	 hanna i       
robust n. 	 barbara i; bodhee ni; v. budulaha loofta; furda, furdo, furdo;     
